morphology_ori_syn,morphology_feedback,morphology_exclude,distribution_ori_syn,distribution_feedback,distribution_exclude,measure_ori_syn,measure_feedback,measure_exclude,severity_ori_syn,severity_feedback,severity_exclude,comparison_ori_syn,comparison_feedback,comparison_exclude,emerge_ori_syn,emerge_feedback,emerge_exclude,no change_ori_syn,no change_feedback,no change_exclude,improved_ori_syn,improved_feedback,improved_exclude,worsened_ori_syn,worsened_feedback,worsened_exclude,reposition_ori_syn,reposition_feedback,reposition_exclude,resolve_ori_syn,resolve_feedback,resolve_exclude,technical limitation_ori_syn,technical limitation_feedback,technical limitation_exclude,other source_ori_syn,other source_feedback,other source_exclude,past hx
"heterogeneous, heterogenous","heterogeneous, heterogenous",nodule,subsegmental,generalized,similar areas,5 cm,"top normal, upper limits of normal, upper limits normal, upper range of normal",39 cm above the carina,trace,trace,residual,right worse than left,right worse than left,not returned to normal,interval development,"interval development, interval appearance",relatively hyperinflated,"no change, no changes",longstanding,comparison is limited,substantially improved,clearing,resolution,more prominent,more,hyperinflated,less kinked,now terminates,less kinked,interval removal,removal of,no reaccumulation,limited assessment,,,ct torso,"abdomen/pelvis ct,, ct abdomen/pelvis, ct abdomen and pelvis",followup radiographs,
loculated,"loculated, partly loculated, partially loculated",central,asymmetric,partial,heterogeneous,3 cm,large caliber,7 cm above the carina,"larger, prominent, large","larger, large",congested,decreased,left more than right,compared to the previous radiograph,hyperinflated,"sudden onset, sudden",in the interval,as before,"likely unchanged, probably unchanged",adequate comparison for interval change is not possible,minimally decreased,"improved aeration, better aerated",enlarged,interval worsening,"enlarging, enlarged, enlargement",volume overload,partially withdrawn,slightly more proximally,slightly,healed,complete clearing,not cleared,difficult to assess on plain radiograph,,,lateral radiograph,"pet ct, pet/ct, ct component of pet/ct, pet scan",prior radiographs,
hazy,hazy,severe,peripheral,evenly,confluent,massive,low,3 to 4 cm above the level of the carina,small to moderate,small to moderate,thickened,left more than right,slightly smaller,as compared to the prior study,remote,degenerative,hyperexpanded,continued,"not improved, not appreciably improved, not improved appreciably, not abated",to assess for change,slight improvement,decrease in size,smallest,more conspicuous,"larger, bigger, larger today, bigger today",interval,slightly more proximally,displaced,,decreased,"almost all, almost completely",following such occurrence,nondedicated exam,,,"prior examination, prior exam",echocardiography,study from two days prior,
"denser, dense","denser, dense, densely, densely calcified",small caliber,heterogeneous,perifocal,compressive,top normal,small to moderate,slight,moderately enlarged,moderately enlarged,80s,increased,slightly better,slightly less prominent,sudden onset,"heal, healed, stages of healing",flast,"no substantial, no significant","standard position, standard placement",as well,"resolution, resolving",substantial interval improvement,minimally,worse,"grow, grown",interval from the prior examination,no repositioning,newly positioned,,no longer,free,previously seen,assessment is limited,,,ct chest,previous fluoroscopy,prior studies,
"prominent, prominence","prominent, prominence, marked, frank",calcification,dense,more distal aspect,chronic,4 cm,moderate,stable,subtle,subtle,worsened,slightly smaller,better,similar in severity,multilevel,interval appearance,planned,"little changed, little change","no acute change, no acute changes, probably not acutely changed, not acutely changed, no acute new, without acute findings, no acute",comparable,markedly improved,mildly improve,minor,more pronounced,greater,appreciably,displaced,loops back,,substantially cleared,more fully,practically,obscured by the cardiomegaly and pleural effusion,,,earlier study of this date,high res ct,lateral image,
widened,"widened, wide",generalized,discrete,adjacent,asymmetrically distributed,8 mm,minimal,difficult to ascertain,moderate to severe,"moderate to severe , mod/severe, moderately to severely",less,slightly better,slightly increased,compared to the previous study,degenerative,flash,already at that time,little,"similar position, remain in place, stable position, without significant change in position",inflated,smaller,"significantly decrease, substantially decreased",slight interval,interval,"slightly progressed, slightly progressive, progressed slightly, mildly progressed",slightly,newly positioned,more inferior,,complete,completely reversed,drainage,distal tip cannot be traced further due to the overlying structures,,,prior ct,barium examination,supine film,
"enlarged, enlargement, dilated","enlarged, enlargement",midline,similar,gradient,areas,6 cm,half,mild,"enlarged, enlargement","marked, prominent, markedly",low,better,greater on the right,as compared to the previous radiograph,healed,now,dissecting,"no significant change, no substantial change",not recurred,no evidence,clearing,less,smaller,"increased slightly, increasing slightly","slightly more pronounced, slightly more conspicuous, slightly more apparent",substantially,loops back,inferior migration,,following removal,almost entirely cleared,after thoracentesis,erect on the earlier study today,,,earlier study,ekg,recent study of one day earlier,
"faint, vague","faint, vague",minor,interstitial,redistribution pattern,predominantly interstitial,very large,various sizes,26 cm above the carina,moderately,extensive,amount,slightly less prominent,more pronounced on the left,much better,interval appearance,"prior, previous",overt,"unchanged positions, unaltered position, unchanged position",no definite,no significant,"improved aeration, better aerated",some improvement,substantial,"slightly bigger, slightly larger","worsened appreciably, substantially worse, markedly worsened",spreading,more inferior,more superiorly located,,"almost complete, near complete",no remaining,without,not seen on portable,,,"previous image, previous imaging","neck ct, ct of the neck",previous radiograph,
"coiled, looped","coiled, looped, curled up, curling, curled, kinking, kinked",gentle,streaky,dependent,substantial amount,extremely low,trace,3 cm from the carina,marked,moderately severe,on the right,slightly increased,greater than expected,comparison to prior study,newly occurred,varying age,predominant,"interval change, interval changes",not cleared,relatively stable,reduced,slight decrease,now clear,progressive,volume loss,substantially decreased,inferior migration,migrated,,no longer present,no evidence,sequela,could be projectional,,,"previous studies, previous study",after thoracentesis,previous pa and lateral chest examinations,
unchanged,"flattened, flattening",correct position,consolidative,"disseminate, disseminated, widely disseminated",new,small to moderate,"2 cm, 3 cm, 4 cm, 8 cm, 5 cm, 8 mm, 6 cm, 25 cm, 1 cm, 35 cm, 9 mm, 15 cm, 15 mm, 45 cm, 13 mm, 36 cm, 29 cm, 24 cm, 6 mm, 43 cm, 28 cm, 7 cm, 1 to 2 cm, 52 cm, 3-cm, 16 mm, 2 cm, 42 cm, 12-cm, 65 cm, up to 3 mm, 17 cm, 7 mm, 33 cm, 3-cm, 37 cm, 16 cm, 56 cm, 46 cm, 09-cm, 35 cm, 7 cm, 34 cm, 45 cm, 5 cm, 43 cm, 54 cm, 2 cm, 51 cm, 36 cm, 4 cm, 39 cm, approximately 5 cm, 33 cm, 53 cm, 6 cm, 46 cm, 3 cm, 13 cm, 65 cm, 38 cm, 42 cm, 1-2 cm, 48 cm, 72 cm, 68 cm, approximately 10 cm, 46-53 cm, 29 cm, 52 cm, 41 cm, 28 cm, 55 cm, 83 cm, 15 mm, 58 mm, 27 cm, 55 cm, 40 cm, 38 cm, 7 cm x 3 cm, 34 cm, 27 x 20 cm, 23 cm, 61 cm, 48 cm, 3 to 6 mm, 8 cm, 9-mm, 18cm, 47 cm, 29 x 22 cm, 5-6 cm, ~ 9 mm, about 5 cm, 15 x 13 cm, 58 cm, 3 and 4 cm, 41 cm, 49 cm, 5-6 mm, 57 x 46 cm, up to 10 mm, 25cm, 53 cm, 5-cm, up to 3 mm, 62 x 50 cm, mm wide, 46 cm, 09-cm, 55 cm, 40 cm, 38 cm, at least 4 cm, within 1 cm, at least 2 cm, 3 cm in width, 8 cm long, at least 4 cm, within 1 cm, 3-cm diameter, 6 mm diameter",58 cm from the carina,"decreasing, decrease, decreased",elevated,on the left,greater on the right,increased compared to the prior study,increase in size compared to prior exam,flash,underlying,not evident on the prior study,grossly unchanged,"not worsened, no interval worsening, no progression, not progressed, no interval progression, no interval development",grossly stable,"somewhat smaller, slightly smaller","less prominent, less conspicuous, less pronounced, not as pronounced",somewhat smaller,more,"substantially increased, markedly increased, substantial increase",compared to the previous image,more superiorly located,removed,,"drainage, drained",evacuated,,not clearly delineated on this exam,,,cxr,"ct scout, scout film from prior ct",portable cxr,
"flattened, flattening",subtle,posteriorly layering,predominantly,cephalization,irregular peripheral,25 cm,"sub cm, subcentimeter",6 cm above the carina,extensive,"moderate to large, moderate to massive, moderate to extensive",right,compressive,less prominent,comparison with the previous study,early developing,emergent,since,no,expected,since the radiograph from the prior day,"decrease in size, decreased in size","substantial improvement, significant improvement",slightly smaller,"enlarging, enlarged, enlargement",slightly decreased,subtle,migrated,migrated outward,,ensure resolution,disappeared,,not well evaluated due to overlying opacity,,,outside hospital,dedicated exam,previous exam,
subtle,"thickening, thickened",poor definition,new,local,55mm from the carina,1 cm,multiple,constant,"worsening, worsened",tiny,calcified,more pronounced on the left,slight decrease,unchanged,interval placement,short interval development,collapsed,still,"the same, essentially the same, remains the same, same, identical",not as well evaluated,substantial interval improvement,"decreased substantially, substantial decrease",slight,slight interval increase,"rapid change, rapidity of interval change",compared to prior,removed,"slightly lower, terminating somewhat lower",,removal of,"eliminate, eliminated",,given lordotic technique on this examination,,,prior chest radiograph,scout radiograph from a torso ct,current radiograph,
"thickening, thickened",clear,retrocardiac,generalized,"different, different manner, slightly different, slightly different manner",discrete,low in volume,trace,4 cm from the carina,moderately severe,slightly,hyperinflated,greater than expected,more so in the left,no larger,"return, reappearance","since the last exam, since the previous exam",developed over the past 24 hr,"similar to priors, similar to prior",no reaccumulation,volume loss,mildly improved,marked improvement,minimal,larger,more engorged,compared to one day prior,need to be advanced,minimally advanced,,complete clearing,"complete resolution, absorbed completely",,partially obscured by the overlying battery pack,,,current exam,bal,xray,
clear,"indistinct, mildly indistinct",segmental,partial,horizontal,perihilar,"very low, very small",several,45 cm above the carina,elevated,massive,less dense,increased compared to the prior study,slightly decreased,comparison with the study of,now,subacute,postoperative,"no relevant change, no relevant changes","no substantial interval increase, no evidence of significantly increased",without acute process,"regressed, regression",increased,slightly less,"grow, grown","more denser, more dense",less prominent,could be withdrawn approximately 8 cm,malpositioned,,"almost all, almost completely",normalized,,degrades the quality of the lateral view,,,cta,bronchoscopy,earlier study of this date,
indistinct,unremarkable,cephalization,evenly,segmental,slightly different,upper limits of normal,"innumerable, numerous",48 cm above the carina,"increased, increase, increasing",some,very,less prominent,worse on the right than the left,compressive,sudden,flash,this morning,"continues, continue","as previously noted, as seen on prior radiographs, also seen on the prior study, as on prior study, seen already on previous examination, previously seen, as seen previously, seen on the multiple previous studies, similar to the previous exam, consistent with a previous study, existed already earlier, existed already at that time, as seen on the prior radiograph, as seen on the prior chest radiograph, as on prior, present over multiple prior radiographs, since prior radiographs, also present on prior radiographs, as seen on the prior radiograph, as seen on the prior chest radiograph, seen on prior studies, also present on prior radiographs, seen over several prior studies",comparison,less conspicuous,"better determined, better defined",marked,greater,less,engorged,migrated outward,"slightly changed position, changed in position slightly",,free,no longer dilated,,lack of comparison studies,,,supine film,ultrasound,admission cxr,
unremarkable,"oval, elliptical, ovoid",multiple,perifocal,local,small amount,35 cm,"two leads, two lead",6 cm from the carina,moderate to large,very mild,increasing,slight decrease,now extends,earlier in this date,prior,"rapid onset, rapidly evolving",frank,"comparison, compared",not their overall extent,not appreciated on prior chest radiography,significantly decreased,minimal improvement,slowed,slightly progressed,"increased in size, worsening size",compared to prior radiograph,slightly,removal/repositioning,,more fully,not congested anymore,,cannot be assessed on the current examination,,,preceding similar study,dedicated clavicular films,second image,
subsegmental,compressive,local,asymmetrically distributed,different,multiple,unchanged,large amount,41 cm from the level of the carina,tiny,borderline,engorged,before its junction with the superior vena cava,lesser extent in the left lower lobe,slightly widened,overt,rapid,2 days ago,healed,no decrease,dating back through,less,"less dense, less radiodense",improved on the left,slightly more prominent,extensive,compared to the prior radiograph,slightly lower,terminating somewhat lower,,without,now clear,,not clearly localized on this single frontal radiograph,,,chest cta,medical record,preceding ap single view chest examination,
"oval, elliptical, ovoid",interstitial,scattered,evenly distributed,disseminate,lower lobes,moderate,"small amount, small quantity",3 to 4 cm above the level of the carina,slightly,slightly decreased,dilated,more so in the left,more than on the left,more discrete compared to prior exam,relatively hyperinflated,"newly placed, interval placement",since mid,again noted,unchanged extent,no evidence of,some improvement,"decreased slightly, diminished slightly",improved asymmetrically on the left side,slight increase,worsened in the interval,edematous,need to be repositioned,directed posteriorly,,completely reversed,now appears normal,,not well localized on this single frontal radiograph,,,preceding portable chest examination,"prior abdominal radiograph, abdominal radiograph",outside chest radiograph,
compressive,"irregular, irregularly, extremely irregular",constant,compressive,segmental,predominantly,9 mm,second,difficult to ascertain,massive,most severe,overdistended,slightly decreased,slightly larger on the left than on the right,"larger than immediate post-procedure, greater than previous, better than previous, increased compared to the most recent prior study ",varying age,congenital,perforated,longstanding,"no progression, no appreciable progression, not progressed, no interval progression",low lung volumes,slight decrease,mild regression,now appears normal,"recurrent, recurred, returned",worsened compared to the most recent prior study,out of proportion to expected,should be withdrawn 25 cm for optimal placement,unusually posteriorly,,from prior pneumonia,almost complete resolution,,tip is obscured by overlying pacer leads,,,"ct scanning, ct scan",vbg,portable followup examination,
interstitial,"reticular, reticulated, reticular nodular, linear reticular",peripheral,asymmetrical pattern,cephalization,paramediastinal,slightly decreased,additional,slightly less,mildly,partial,consolidated,worse on the right than the left,greater on the right than left,,underlying,post procedure,3 days,not changed,changed in distribution but not in overall severity,compared to the preoperative radiograph,slight,continued improvement,normalized,reaccumulation,worse or new,layering,could be advanced 2 cm for optimal placement,received,,almost complete resolution,after resolution,,line is obscured by overlying pacer leads,,,"prior chest ct, prior chest cts",shoulder radiographs,prior lateral radiograph,
"irregular, atypical","coarse, coarseness",osteophytic spurring,areas,evenly distributed,all,slightly low,dual lead,26 cm above the carina,some,not large,acute,now extends,lower lung right greater than left,,emergent,new,six days ago,little overall change,"also seen on prior ct, not changed since prior ct, similar to prior ct",asymmetric,marked,probably improved,improved in the left lung,"more apparent, more evident",worse compared to the most recent prior study,dramatic,can be advanced 2 cm for optimal placement,,,previously seen,ensure resolution,,assessment of the cardiomediastinum was limited,,,prior,cta torso,prior examination done yesterday,
"reticular, reticulated","confluent, coalescent",residual,slightly different,asymmetrically distributed,slightly different manner,not enlarged,at least,3 cm from the carina,very mild,high,enlargement,lesser extent in the left lower lobe,more extensive on the right than left,,post,active,past two days,"likely unchanged, probably unchanged",waxing and waning,interval appearance,less prominent,very minimally decreased,decreased on the left,interval progression,worrisome for progression,redevelopment,minimally advanced,,,almost entirely cleared,healed,,difficult to discern,,,xray,pathology,ap single chest view,
"coarse, coarseness","intact, grossly intact",double lumen,predominantly basal,prominent,asymmetric,15 cm,few,58 cm from the carina,chronic,severely,more engorged,as compared to the prior study,greater on the right than the left,,frank,blossoming,,stably,termination not unchanged,new,"substantial improvement, significant improvement",assess for improvement,,hyperinflated,"substantially progressed, progressed substantially",again,malpositioned,,,total,decreased,,tip is obscured by spinal hardware,,,outside institution,transbronchial biopsy,radiographs,
confluent,triangular,multilevel,more distal aspect,posteriorly layering,asymmetrical pattern,15 mm,whole,6 cm above the carina,markedly,"bad, worst, worse", decreasing,comparison with the study of,greater on the left,,short interval development,early,,"again seen, again visualized",remains congested,compared to the previous radiograph,interval decrease,marked interval improvement,,has worsened,"slowly progressing, progressed slowly, progressed slightly",less striking,slightly changed position,,,not clearly seen,near resolution,,obscures the lower half of the left chest,,,frontal radiograph,outside hospital,preceding radiographs,
diffuse,"spherical, globular",relative,vague,layering,stable,45 cm,some,slight,borderline,minimally increased,diffusely osteopenic,compared to the previous radiograph,beyond the lower limit of the image,,in the interval,first,,no significant interval change,probably fairly similar,similar in position,decreased substantially,"slight clearing, some clearing",,exacerbation,slightly more displaced,widespread,should be repositioned,,,no longer appreciated,somewhat resolved,,lateral view is mandatory,,,abdominal ct,outside institution,previous chest radiograph,
intact,"hyperinflated, hyperexpanded, hyperexpansion, hypoinflated",oriented,throughout,,,minimal,dual,slightly,slightly decreased,severely enlarged,very small,comparison with the previous study,in relation to the left lung,,since the last exam,new acute,,relatively unchanged,remains reduced,last,substantial decrease,barely perceptible,,worsened appreciably,slightly more congested,less severe,removal/repositioning,,,no remaining,nearly cleared,,limits evaluation of the right mid and lower lung,,,lateral image,outside hospital chest radiographs,cxr,
triangular,"asymmetric,asymmetrically, asymmetrically distributed, asymmetrical pattern, asymmetric pattern",configuration,irregular peripheral,,,13 mm,five,bore,most severe,mild residual, compressed,in comparison with study of,more medially placed,,since the previous exam,reaccumulating,,"no new area, no new areas",unchanged in size,compared to previous exams,marked improvement,improved position,,widespread,"slightly more, slightly lower, minimally lower",returned,terminating somewhat lower,,,not cleared,almost resolved,,difficult to visualize,,,cta of the chest,online record of critical results reporting,initial radiograph,
"spherical, globular",similar,diffusely,different manner,,,moderately enlarged,twice,marked,partial,moderate to moderately large,underinflated,more than on the left,more severe on the right,,subacute,reaccumulation,,"previous, old",similar in appearance to prior shoulder radiograph,comparison across modalities is limited,increased,better appreciated,,volume loss,"change, shifting",compared to the prior study,directed posteriorly,,,sequela,resolving,,difficult to exclude,,,previous chest radiograph,,radiographs from am,
"curled up, curling, curled, kinking",unfolded,partly,adjacent,,,26 cm above the carina,dual channel,upper range of normal,not large,more severe,increase,slightly larger on the left than on the right,more marked than on the left side,,hyperexpanded,"recurrent, recurred, returned, redevelopment, redeveloping",,"no interval changes, no interval change",neither increased nor decreased,remote,interval,slightly less prominent/small,,subtle,slightly changed,recurrent,unusually posteriorly,,,withdrawn completely,nearly resolved,,hard to assess because of adjacent right pleural effusion,,,portable radiograph,,preceding portable supine chest examination,
hyperinflated,"coarsening, coarsened",structures,nodular,,,36 cm,scores,severely,high,very slight,decrease,greater on the right than left,more,,beginning,,,residual,without significant change,no longer visualized,minimal,mild interval decrease,,substantially increased,slight enlargement,diffuse,interval placement,,,no evidence,questionable clearing,,difference in modality,,,abdomen/pelvis ct,,study yesterday,
asymmetric,"convexity, convex, rightward convex",lower margin,multiple,,,29 cm,x2,in volume,minimally,substantially decreased, secondary,lower lung right greater than left,lesser extent than on the right,,not present on the previous examination,,,still present,probable stability,predominantly,"better determined, better defined",reexpansion,,substantially,slight deterioration,compatible with fluid overload,received,,,somewhat resolved,significant resolution,,supine radiograph,,,prior imaging,,current study,
similar,"bulging, bulbous",metallic ring,perihilar,,,slightly enlarged,5 units,very,severely,slightly increased,engorgement,more extensive on the right than left,more dense on the left,,flast,,,grossly stable,previously noted,hypoinflated,minimal improvement,mild,,substantial increase,similar to mildly worsened,since prior,could be advanced 2 cm,,,since radiograph,following removal,,poorly seen due to technique,,,preceding study,,initial image,
unfolded,"well expanded, symmetrically expanded",left ventricular configuration,substantial amount,,,6 cm above the carina,extensive,within,"bad, worst, worse",poor,worsening,not returned to normal,slightly more prominent,,three months ago,,,not substantially changed,since the prior study,no,partial,very significant improvement,,slightly more pronounced,rapidly worsened,since the prior study,changed in position slightly,,,no longer clearly visible,substantially resolved,,not well seen due to technique,,,portable chest radiograph,,portable ap chest radiograph,
"coarsening, coarsened","wedge, wedged, wedging, wedge shaped, anterior wedge",diffuse,gradient,,,24 cm,baseline cr 4,mildly,minimally increased,extremely low,acute on chronic,increase in size compared to prior exam,compared to the right,,rapid onset,,,no relevant,since the prior exam,returned to the size it was,slightly,less prominent than on the previous study,,slightly decreased,rapid progressive,compared to recent prior studies,readjustment,,,after thoracentesis,substantially cleared,,cannot be assessed,,,current image,,recent study,
"convexity, convex",spiculated,metallic ring,paramediastinal,,,substantial,"4, 40, 72, 92, 9, 25, 100, 2, two, one, 1, single, 3, three",very,severely enlarged,not substantial,progressive,compared to prior,substantially lower,,rapid,,,"compared to previous exam, compared to previous exams",no overt worsening,does not layer,slightly less,less than prior exam,,"redevelopment, redeveloping",progressed to complete collapse,advanced distally,pulled,,,absorbed completely,,,scoliosis,,,ct abdomen/pelvis,,pa and lateral view,
