morphology_ori_syn,morphology_feedback,morphology_exclude,distribution_ori_syn,distribution_feedback,distribution_exclude,measure_ori_syn,measure_feedback,measure_exclude,severity_ori_syn,severity_feedback,severity_exclude,comparison_ori_syn,comparison_feedback,comparison_exclude,emerge_ori_syn,emerge_feedback,emerge_exclude,no change_ori_syn,no change_feedback,no change_exclude,improved_ori_syn,improved_feedback,improved_exclude,worsened_ori_syn,worsened_feedback,worsened_exclude,reposition_ori_syn,reposition_feedback,reposition_exclude,resolve_ori_syn,resolve_feedback,resolve_exclude,technical limitation_ori_syn,technical limitation_feedback,technical limitation_exclude,other source_ori_syn,other source_feedback,other source_exclude,past hx
"bulging, bulbous","sclerotic, diffusely sclerotic",rightward,lower lobes,,,reduced,2 additional,markedly,acute,less severe,intermittent,greater on the right than the left,more dense,,dissecting,,,comparable,not narrowed or migrated,well inflated,"minor, smallest",better inspiration,,rapid change,new/progressing,since previous imaging,,,,after resolution,,,limiting evaluation of the lung parenchyma,,,ap technique,,previous imaging,
platelike,"sharp, sharp lower margin",,similar areas,,,large scale,1 lead,mild,recurrent,early,volume increase,compared to the most recent prior study,left much greater than right,,increase,,,consistent,interval change,previous,further,improved substantially,,more engorged,more visible,interval decrease,,,,no reaccumulation,,,distal end is beyond the view of radiograph,,,prior lateral radiograph,,prior radiograph,
hyperexpanded,abnormal,,redistribution pattern,,,stable,x4,scale,mild residual,substantially increased,recurrent,greater on the left,asymmetric with the opposite side,,newly placed,,,interval,interval changes,probably paralyzed,less dense,continued improvement/resolution,,more denser,more vague,hyperexpanded,,,,nearly cleared,,,distal end is off the radiograph view,,,radiographs from am,,repeat radiograph,
well expanded,punctate,,dependent,,,6 mm,150s,lower,hyperinflated,slightly enlarged,improvement,comparison to prior study,more prominent in the retrocardiac area than at the right lung base,,very early,,,not improved,last 24 hours,little,"decreased slightly, diminished slightly",substantial clearing,,minimally worsened,more than the prior day,prominent,,,,not longer visualized,,,tip is out of the image,,,pet ct,,prior chest radiograph,
"wedge, wedged, wedging",fibrotic,,prominent,,,mild enlargement,80s,long,moderate to moderately large,"heavy, profound",unchanged,beyond the lower limit of the image,worse on the right,,six days ago,,,not appreciably changed,persistently enlarged,absence,mild regression,some degree of improvement,,minimally worse,more severe,reaccumulating,,,,no longer apparent,,,allowing for technical differences,,,ct abd,,lateral chest radiograph,
spiculated,displaced,,chronic,,,43 cm,750 cc,moderate,more severe,stage iv,chronic,in relation to the left lung,compared to the right lung,,long standing,,,hyperinflated,chronically,minimal,substantially decreased,interval clearing,,"mildly increasing, mildly increased",more pronounced today,pulled back,,,,recoverable,,,tip not completely identified,,,ct abdomen,,previous examination,
sclerotic,fine,,stable,,,28 cm,2 kg,very,very slight,well,acute,more medially placed,more pronounced on the left than the right,,since,,,"mostly unchanged, largely unchanged",known,slightly pulled back,continued improvement,much improved,,markedly increased,more numerous,near complete,,,,practically,,,small differences in technique,,,prior film,,lateral view,
sharp,stellate,,all,,,7 cm,a few centimeters,massively,substantially decreased,mild to moderately severe,,more severe on the right,slightly less conspicuous,,perforated,,,multilevel,probably chronic,residual,probably improved,partial aeration,,less,more indistinct,redeveloping,,,,cleared up,,,not well characterized on this radiographic examination,,,recent study,,upright portable chest radiograph,
abnormal,configuration,,predominantly interstitial,,,constant,3l,within,slightly increased,slightly more,,no larger,less severe than some,,planned,,,prior,do not resolve,normally,very minimally decreased,more aerated,,layering,more distended today,recurred,,,,no longer any,,,related to technique,,,portable cxr,,lateral projection,
focal,curvilinear,,55mm from the carina,,,marked,unchanged,minimally,mildly to moderately,near total,,more marked than on the left side,more on the left,,this morning,,,compared to the previous radiograph,previously described,elevation,improved asymmetrically on the left side,slightly less confluent,,"larger today, bigger today",more confluent,reaccumulation,,,,evacuated,,,less well evaluated,,,lateral projection,,prior exam,
punctate,normal course,,widely disseminated,,,45 cm above the carina,moderate enlargement,mildly,less dense,more severe in the right upper lobe than the left,,increased today relative to,slightly less,,congenital,,,"standard position, standard placement",recurred,no gross interval,assess for improvement,considerable improvement,,increased in size,minimally more extensive,layering,,,,questionable clearing,,,limitation in mind,,,ct torso examination,,earlier study,
fibrotic,left ventricular configuration,,small amount,,,1 to 2 cm,borderline enlarged,very,poor,benign,,more,marginally bigger,,early stages of healing,,,redemonstrated,similar in configuration,tortuous,marked interval improvement,mildly decreased,,extensive,minimally larger,,,,,disappeared,,,limits evaluation of the cardiac and mediastinal contours,,,study from two days prior,,chest radiographs,
displaced,sliver,,slightly different manner,,,no larger,"leads, lead",mild,extremely low,abundant,,lesser extent than on the right,"different, different manner",,since mid,,,no other,similar in size,healed,slight clearing,mild improvement,,exaggerated,"minimally, minimal",,,,,following such occurrence,,,supine study,,,echocardiography,,previous examinations,
constant,"vertical, vertically, vertically oriented",,,,,7 cm above the carina,not enlarged,scale,not substantial,almost complete,,more dense on the left,"decrease, decreasing, diminished, decreased, reduced",,post procedure,,,no newly occurred,not significantly worsened,maturing,some clearing,slightly smaller than the prior exam,,even lower,marked enlargement,,,,,significant resolution,,,not visualized adequately on this film,,,outside hospital chest radiographs,,lateral radiograph,
"wide, extensive",demineralized,,,,,52 cm,"large bore, large caliber",lower,less severe,small left,,slightly more prominent,"increase, increased",,new acute,,,no newly appeared,old,underlying,barely perceptible,potentially reflecting improved ventilation or higher respiratory pressures,,"diffuse, spreading",lower than on the prior study,,,,,no longer visible,,,radiographically indeterminate,,,previous fluoroscopy,,prior imaging,
irregularly marginated,hypertrophic,,,,,upper range of normal,"moderate enlargement, moderately enlarged",in width,early,slightly widened,,compared to the right,upper limits of normal,,elevated pulmonary venous pressure,,,not acutely changed,been present,without,improved position,stable to slightly improved,,compatible with fluid overload,likely increase,,,,,complete resolution,,,partially included,,,initial image,,chest radiograph,
fine,fibronodular,,,,,3-cm,"severely enlarged, substantial enlargement",long,very small,minimal residual,,substantially lower,predominant,,consistent,,,without change,almost unchanged,no larger,better appreciated,rapid improvement,,"change, shifting",less well seen,,,,,until resolution,,,potentially in part technical,,,second image,,requisition,
residual,luminal narrowing,,,,,"large bore, large caliber",markedly enlarged,above,moderate to massive,less,,slightly widened,unchanged on the left,,active,,,as seen previously,not undergone any significant interval change,still ends,slightly less prominent/small,better expanded,,worsening size,larger than on the prior exam,,,,,remnant,,,suboptimally assessed,,,high res ct,,prior and subsequent radiographic reports,
peribronchial,infiltrative,,,,,sub cm,"slightly increased, slight increase",no,substantially increased,minimally congested,,compared to the previous study,stable on the right,,predominant,,,similar position,not significantly,mildly displaced,mild interval decrease,general improvement,,worsened slightly,involving more substantial amount,,,,,substantially resolved,,,limited scan,,,study yesterday,,lateral view only,
stellate,scarring,,,,,5 cm from the carina,mild to moderately enlarged,1 cm from the carina,slightly enlarged,minimally thickened,,upper limits of normal,unchanged on the right,,not evident on the prior study,,,not recurred,not appreciated,some volume loss,reexpansion,interval mild improvement,,worsened in the right lung,"interval development, developed",,,,,,,,absence of a lateral view,,,preoperative radiograph,,ap radiograph,
"blunted, frank",elevated,,,,,6 mm diameter,various sizes,bilateral,"heavy, profound",low 80s,,more dense,stable on the left,,already at that time,,,similar to prior exam,chronic,normalized,mild,further marked reduction,,worsened in the interval,increasing slowly,,,,,,,,no repeat lateral view,,,exam from two days prior,,multiple priors,
configuration,distended,,,,,16 mm,"minimally enlarged, slightly enlarged",48 cm above,stage iv,slightly worsened,,similar in severity,improved on the left,,postoperative,,,remain in place,no significant interval,same day,very significant improvement,decreased in extent and density,,worsened compared to the most recent prior study,increasing positive pressure,,,,,,,,incompletely visualized on the current examination,,,ct abdomen and pelvis,,current image,
partially loculated,better defined,,,,,2 cm above,massively enlarged,loculated,"substantially, well",considerable degree,,left much greater than right,improved in the left lung,,rapidly evolving,,,similar compared to prior,no relevant,prior,normalized,satisfactory,,worse or new,increased in volume,,,,,,,,not optimally seen,,,pa and lateral view,,ap technique,
curvilinear,bullous,,,,,substantial enlargement,not large,46 cm above the carina,improvement,slow,,asymmetric with the opposite side,improved asymmetrically on the left side,,developed over the past 24 hr,,,no definite,not significant,compared to previous exam,less prominent than on the previous study,improved ventilation,,worse compared to the most recent prior study,increased in size from prior,,,,,,,,"difference in technique, differences in technique",,,same day radiograph,,prior examination,
normal course,curved,,,,,6 cm from the carina,substantial increase,2 cm above,mild to moderately severe,substantially less,,more prominent in the retrocardiac area than at the right lung base,decreased on the left,,longstanding,,,similar to the prior study,,same day earlier,enlarged,asymmetrically resolving,,worrisome for progression,increased in extension,,,,,,,,patient rotation,,,barium examination,,earlier film,
left ventricular configuration,atelectatic,,,,,within 1 cm,"slightly decreased, minimal decrease",not substantial,mod/severe,small if not moderate,,much better,improved on the left,,3 days,,,stable position,,similarly positioned,less than prior exam,slowly resolving,,volume overload,gradually progressing,,,,,,,,"incompletely imaged, incompletely visualized",,,preceding ap single view chest examination,,previous study,
sliver,hyperlucency,,,,,5 cm above,very small,cluster,slightly more,severely low,,worse on the right,improved asymmetrically on the left side,,blossoming,,,known,,compared to 45 minutes earlier,better inspiration,partially cleared,,substantially worse,gradual increase,,,,,,,,ap technique,,,ap view,,last examination,
vertical,"fluid filled, possibly fluid filled",,,,,mild,"extremely low, very low",5 cm above,near total,minimally prominent,,compared to the right lung,improved in the left lung,,collapsed,,,similar in size,,recurrent,improved substantially,potentially minimally improved,,substantially progressed,further enlargement,,,,,,,,patient in upright position,,,prior and subsequent radiographic reports,,conventional chest radiographs,
demineralized,circumferential,,,,,2 cm,multilevel,substantial,acute on chronic,no significant,,more pronounced on the left than the right,decreased on the left,,past two days,,,similar to previous examination,,not visualized,continued improvement/resolution,further improvement,,substantially decreased,further elevation,,,,,,,,"lordotic positioning, lordotic view",,,recent study of one day earlier,,portable chest radiograph,
diffusely sclerotic,double contour,,,,,62 x 50 cm,low in volume,62 cm above the carina,more severe in the right upper lobe than the left,small amount,,earlier in this date,increased on the right,,first,,,no evidence of,,compared to the prior exam,less pronounced,not congested anymore,,slowly progressing,evolving,,,,,,,,technical differences,,,earlier film,,frontal radiograph,
hypertrophic,engorged,,,,,42 cm,large scale,52 cm above the carina,compressed,severity in extent,,slightly less conspicuous,more coalescent on the right,,early acute,,,not cleared,,hyperexpanded,rapid,marked regression,,slightly progressive,disproportional increase,,,,,,,,tip not identified,,,ekg,,dialysis,
fibronodular,complex,,,,,16 cm above the carina,"mild enlargement, mildly enlarged",foci,benign,more prominent on the right,,less severe than some,slightly more pronounced on the right,,2 days ago,,,previously seen,,comparable to yesterdays image,substantial clearing,greatly improved,,slightly more pronounced on the right,denser than on the previous image,,,,,,,,"patient positioning, patients positioning, patient position",,,ct with contrast is recommended,,preoperative radiograph,
luminal narrowing,surrounding,,,,,slight increase,very large,biventricular,abundant,moderate to severe on the left,,more discrete compared to prior exam,worsened in the right lung,,organizing,,,minimally changed,,little if any,some degree of improvement,progressive decrease,,slightly more displaced,denser than before,,,,,,,,not included on the film,,,online record of critical results reporting,,preceding similar study,
plaques,band,,,,,45 mm from the carina,"minimally lower, slightly low",hypoinflated,almost complete,extremely poor,,more on the left,,,,,,hyperexpanded,,evaluate for change,less radiodense,more clear,,slightly more conspicuous,denser,,,,,,,,"limited by patients rotation, limited by patient rotation",,,requisition,,same day radiograph,
vertically oriented,"horizontal, horizontally oriented",,,,,12-cm,no larger,3 cm below,small left,"slightly smaller, minimally smaller",,slightly less,,,,,,persistently,,extensive,slight interval,less severe today,,slightly more congested,continues to worsen,,,,,,,,differences in positioning,,,ct of the neck,,preceding study,
grossly intact,convex,,,,,62 cm above the carina,,,slightly widened,mild right,,marginally bigger,,,,,,unchanged from prior,,not clearly demonstrated,short period,healing,,slightly more apparent,continues to develop,,,,,,,,limited exam,,,neck ct,,recent chest radiograph,
multiple,mixed,,,,,65 cm,,,minimal residual,no large,,as compared to the previous radiograph,,,,,,no larger,,no appreciable,interval clearing,minimal decrease,,slightly more,changed configuration,,,,,,,,"not included on the images, not included on the image",,,after thoracentesis,,prior film,
infiltrative,"heterogeneous, heterogenous, inhomogeneous, homogeneous",,,,,up to 3 mm,,,less,moderately to severely increased,,"different, different manner",,,,,,in retrospect,,one day prior,much improved,progression,,slightly lower,acutely distended,,,,,,,,patient is rotated,,,ct scout,,portable radiograph,
scarring,thin,,,,,difficult to ascertain,,,minimally congested,considerable,,"decrease, decreasing, diminished, decreased, reduced",,,,,,not worsened,,temporary,partial aeration,minimally less extensive,,slightly exaggerated,a little bit more than,,,,,,,,excluded from the field of view,,,recent ct,,preceding pa and lateral chest examination,
elevated,crescentic,,,,,slight,,,progressive,mildly larger,,"increase, increased",,,,,,without appreciable change,,clear,more aerated,stable,,slightly changed,slightly more prominent,,,,,,,,ap view,,,recent chest ct,,previous film,
distended,flowing,,,,,3 cm below,,,minimally thickened,slight prominence,,unchanged,,,,,,chronically,,comparison with the previous study,improved on the left,mildly improved,,slightly,even lower,,,,,,,,single view,,,dedicated exam,,preceding portable chest examination,
better defined,micro,,,,,17 cm,,,low 80s,mildly low,,,,,,,,not changed appreciably,,likely present,slightly less confluent,markedly improved,,slight worsening,,,,,,,,,excluded from the examination,,,dialysis,,prior chest film,
bullous,lenticular,,,,,7 mm,,,slightly worsened,slightly larger,,,,,,,,expected,,removed,considerable improvement,substantially more subtle,,slight interval worsening,,,,,,,,,patient in supine position,,,ap radiograph,,earlier radiograph,
"curved, kinked",exuberant,,,,,41 cm from the level of the carina,,,considerable degree,mildly calcified,,,,,,,,stable on the left,,entirely,no longer dilated,appears smaller,,slight enlargement,,,,,,,,,tip out of the field of view,,,scout radiograph from a torso ct,,current exam,
mildly indistinct,"deviation, rightward deviation",,,,,33 cm,,,slow,varying degrees,,,,,,,,constant position,,compared to prior,mildly decreased,questionable improvement,,slight deterioration,,,,,,,,,underpenetrated technique,,,lateral view only,,,
retrocardiac,"geographic, geographically, geographically marginated",,,,,slightly less,,,substantially less,slightly hyperinflated,,,,,,,,"persistent unchanged, remains unchanged",,significantly increased,mild improvement,decreased in size,,since the prior study,,,,,,,,,oblique positioning,,,bal,,,
cephalization,alveolar pattern,,,,,subcentimeter,,,small if not moderate,miniscule,,,,,,,,calcified,,not complications of the procedure,slightly smaller than the prior exam,reduced,,since prior,,,,,,,,,overlying,,,bronchoscopy,,,
atelectatic,"circular, circular metallic ring",,,,,3 cm from the carina,,,severely low,reduced,,,,,,,,since the prior exam,,loculated,decreased on the left,no longer dilated,,since previous imaging,,,,,,,,,incompletely evaluated,,,recent chest radiograph,,,
hyperlucency,open circle,,,,,mm wide,,,minimally prominent,slightly less dense,,,,,,,,"recurrent, recurred",,multilevel,potentially reflecting improved ventilation or higher respiratory pressures,significantly decreased,,since,,,,,,,,,"not fully included on the images, not fully included on the image",,,admission cxr,,,
possibly fluid filled,elongation,,,,,at least 4 cm,,,no significant,very reduced,,,,,,,,no appreciable change,,no other,incomplete,almost complete resolution,,similar to mildly worsened,,,,,,,,,should be retracted 2 cm to place in the low svc,,,ultrasound,,,
circumferential,kyphotic angulation,,,,,15 cm above the carina,,,small amount,severely increasing,,,,,,,,essentially unchanged,,no substantial,stable to slightly improved,less striking,,reaccumulating,,,,,,,,,differences in positioning and technique,,,preceding radiographs,,,
correct position,sharp,,,,,1 cm from the carina,,,severity in extent,moderately decreased,,,,,,,,the same,,not appreciated on the prior study,rapid improvement,less severe,,rapidly worsened,,,,,,,,,patient is rotated to the right,,,concurrent chest ct,,,
peripheral,"taper, tapered, tapered configuration",,,,,3-cm diameter,,,engorgement,limited,,,,,,,,"no acute change, no acute changes",,better seen on prior exam,substantially,less prominent,,rapidity of interval change,,,,,,,,,difficult to evaluate,,,preceding pa and lateral chest examination,,,
multilevel,lateral peaking,,,,,37 cm,,,volume increase,mildly engorged,,,,,,,,no reaccumulation,,compared with multiple prior studies,better expanded,near resolution,,rapid progressive,,,,,,,,,slight leftward rotation,,,dedicated clavicular films,,,
linear reticular,ground glass,,,,,moderate enlargement,,,moderate to extensive,markedly dilated,,,,,,,,no appreciable,,without overt,general improvement,somewhat resolved,,pulled back,,,,,,,,,portable ap upright,,,medical record,,,
deviation,"symmetrical, symmetrically",,,,,severely enlarged,,,more prominent on the right,mildly prominent,,,,,,,,loculated,,throughout,interval mild improvement,nearly cleared,,prominent,,,,,,,,,terminates outside the field of view,,,upright portable chest radiograph,,,
consistent with neoesophagus,"deep, slightly deep",,,,,markedly enlarged,,,moderate to severe on the left,borderline enlarged,,,,,,,,relatively stable,,stable to slightly increased,further marked reduction,almost resolved,,progressed to complete collapse,,,,,,,,,significant patient rotation,,,previous film,,,
double contour,even,,,,,45 mm above the carina,,,extremely poor,slightly overdistended,,,,,,,,without,,recent,decreased in extent and density,resolving,,progressed substantially,,,,,,,,,supine exam,,,earlier radiograph,,,
engorged,misaligned,,,,,small amount,,,slightly smaller,extremely large,,,,,,,,recent,,compared,substantially more subtle,nearly resolved,,progressed slowly,,,,,,,,,supine technique,,,lateral chest radiograph,,,
mild tortuosity,"distortion, distorts",,,,,16 cm,,,mild right,very severe,,,,,,,,not appreciated on prior chest radiography,,in retrospect,satisfactory,questionable clearing,,progressed slightly,,,,,,,,,positioning of the patient,,,followup radiographs,,,
appearance,tenting,,,,,slightly increased,,,no large,minimally less,,,,,,,,temporary,,free,improved ventilation,significant resolution,,potentially slightly increased,,,,,,,,,differences in patient position,,,outside chest radiograph,,,
central rounded lucency,alveolar pattern,,,,,mild to moderately enlarged,,,moderately to severely increased,minimally decreased,,,,,,,,no substantial interval increase,,calcified,asymmetrically resolving,following removal,,out of proportion to expected,,,,,,,,,lateral view,,,portable ap chest radiograph,,,
central lucency,fragmented,,,,,8 cm long,,,considerable,less consolidated,,,,,,,,no significant superimposed change,,unchanged on the left,slowly resolving,resolving,,now,,,,,,,,,projection,,,previous pa and lateral chest examinations,,,
complex,biconcave,,,,,3 cm in width,,,mildly larger,early acute,,,,,,,,not significantly different,,stable on the left,partially cleared,substantially cleared,,new/progressing,,,,,,,,,not entirely included on the study,,,preceding portable supine chest examination,,,
surrounding,cavitary,,,,,56 cm,,,slight prominence,"complete, completely",,,,,,,,unchanged on the right,,stable on the right,potentially minimally improved,substantially resolved,,near complete,,,,,,,,,accentuated by portable technique,,,preceding portable examination,,,
extremely irregular,"lobulated, lobular",,,,,half,,,mildly low,gentle,,,,,,,,not appreciably improved,,unchanged on the right,appears smaller,,,more visible,,,,,,,,,compared to the prior radiograph,,,torso ct,,,
midline,leftward,,,,,7 cm x 3 cm,,,intermittent,early stages,,,,,,,,no new gross,,,further improvement,,,more vague,,,,,,,,,field of view,,,prior abdominal radiograph,,,
band,nondisplaced,,,,,34 cm,,,diffusely osteopenic,,,,,,,,,presumably unchanged,,,minimally,,,more than the prior day,,,,,,,,,overlying motion artifact,,,vbg,,,
horizontal,congested,,,,,27 x 20 cm,,,slightly larger,,,,,,,,,not significant,,,not congested anymore,,,more severe,,,,,,,,,could be accentuated by positioning and relatively low inspiratory effort,,,shoulder radiographs,,,
rightward convex,rightward,,,,,23 cm,,,underinflated,,,,,,,,,volume loss,,,slowed,,,more pronounced today,,,,,,,,,not well appreciated on the current study,,,chest ct scans,,,
segmental,consolidative,,,,,3 to 4 cm above the level of the carina,,,mildly calcified,,,,,,,,,no longer visualized,,,generally,,,more numerous,,,,,,,,,excluded from this examination,,,most recent chest ct,,,
mixed,multiloculated,,,,,61 cm,,,varying degrees,,,,,,,,,last 24 hours,,,marked regression,,,more marked,,,,,,,,,not included in the field of view,,,cta torso,,,
wedge shaped,"dilated, not dilated",,,,,48 cm,,,slightly hyperinflated,,,,,,,,,same day,,,substantial,,,more indistinct,,,,,,,,,decubitus films,,,prior examination done yesterday,,,
homogeneous,atypical,,,,,46 cm above the carina,,,miniscule,,,,,,,,,compared with multiple prior studies,,,greatly improved,,,more distended today,,,,,,,,,to exclude a left pneumothorax,,,ap single chest view,,,
posteriorly layering,"blunt, blunted, blunting",,,,,4 cm above the level of the carina,,,residual,,,,,,,,,last,,,progressive decrease,,,more dense,,,,,,,,,absence of lateral view,,,abdominal radiograph,,,
anterior,"margin, marginated, irregularly marginated",,,,,various sizes,,,minimally smaller,,,,,,,,,probably not acutely changed,,,now clear,,,more confluent,,,,,,,,,limited in the determination of the exact termination point,,,prior ct chest,,,
thin,"lucency, linear lucency, linear areas of lucency, central lucency, central rounded lucency",,,,,minimally enlarged,,,reduced,,,,,,,,,no major change,,,more clear,,,more coalescent on the right,,,,,,,,,subtle change would be difficult to detect based on a portable film,,,current radiograph,,,
crescentic,discrete,,,,,miniscule,,,slightly less dense,,,,,,,,,removed,,,less severe today,,,minimally more extensive,,,,,,,,,differences in technique and rotation of the patient,,,pet scan,,,
